x,y,z
0,0,0
-79.875072,-9.704448,0
-88.086528,-11.19744,0
-101.523456,-17.169408,0
-110.481408,-24.634368,0
-115.70688,-31.352832,0
-120.932352,-40.310784,0
-123.17184,-48.52224,0
-123.918336,-57.480192,0
-123.17184,-67.18464,0
-120.185856,-78.38208,0
-114.960384,-86.593536,0
-110.481408,-92.565504,0
-103.016448,-99.283968,0
-92.565504,-104.50944,0
-81.368064,-107.495424,0
-73.903104,-108.24192,0
-63.45216,-107.495424,0
51.508224,-96.297984,0
122.425344,-87.340032,0
178.412544,-79.128576,0
249.329664,-67.931136,0
332.937216,-55.9872,0
371.755008,-50.015232,0
384.633792,-48.795264,0
394.713792,-49.875264,0
406.233792,-54.195264,0
414.513792,-57.435264,0
425.313792,-61.035264,0
433.593792,-62.835264,0
444.033792,-63.195264,0
453.753792,-61.035264,0
462.393792,-58.515264,0
473.553792,-55.635264,0
484.353792,-52.755264,0
491.913792,-49.155264,0
495.873792,-43.755264,0
496.953792,-37.275264,0
495.513792,-30.075264,0
489.753792,-23.235264,0
480.033792,-15.675264,0
470.673792,-7.395264,0
464.913792,-0.555264,0
463.113792,5.924736,0
462.393792,13.124736,0
462.033792,21.764736,0
461.313792,36.524736,0
459.873792,50.924736,0
459.513792,60.284736,0
457.353792,70.364736,0
455.913792,77.204736,0
451.593792,83.684736,0
445.473792,85.484736,0
436.833792,85.484736,0
423.153792,84.044736,0
405.153792,82.604736,0
343.809792,76.484736,0
303.201792,73.892736,0
281.601792,71.300736,0
229.761792,63.956736,0
196.065792,58.772736,0
186.129792,56.180736,0
177.489792,50.564736,0
171.441792,41.492736,0
167.553792,35.876736,0
158.481792,31.988736,0
146.817792,28.964736,0
139.905792,25.076736,0
134.721792,20.324736,0
131.265792,13.844736,0
130.401792,6.500736,0
131.265792,-0.411264,0
132.993792,-7.755264,0
133.425792,-13.803264,0
132.129792,-21.147264,0
127.377792,-30.651264,0
120.033792,-37.995264,0
110.097792,-42.315264,0
93.681792,-44.043264,0
79.857792,-41.019264,0
68.625792,-36.699264,0
60.849792,-31.947264,0
50.913792,-25.035264,0
40.977792,-18.123264,0
32.769792,-12.075264,0
21.105792,-4.731264,0
14.625792,-0.411264,0
6.849792,0.884736,0
0,0,0